실행시각,전략명,파라미터,초기자본,최종자본,수익률,승률,거래수,시작일,종료일,첫캔들,마지막캔들,인터벌,코인
2025-06-08 12:57:32,RSI,"{""period"": 14, ""overbought"": 70, ""oversold"": 30}",10000000.0,9956830.166410482,-0.43169833589518436,0.0,2,2025-06-08,2025-06-08,2025-06-08 09:38:00,2025-06-08 12:57:00,1분봉,BTC
2025-06-09 10:59:48,RSI,"{""period"": 14, ""overbought"": 70, ""oversold"": 30}",10000000.0,10014391.458336243,0.14391458336243404,80.0,5,2025-06-01,2025-06-04,2025-06-01 00:00:00,2025-06-04 21:30:00,15분봉,BTC
2025-06-09 11:00:37,RSI,"{""period"": 14, ""overbought"": 70, ""oversold"": 30}",10000000.0,10014391.458336243,0.14391458336243404,80.0,5,2025-06-01,2025-06-04,2025-06-01 00:00:00,2025-06-04 21:30:00,15분봉,BTC
2025-06-09 11:24:32,RSI,"{""period"": 14, ""overbought"": 70, ""oversold"": 30}",10000000.0,10014391.458336243,0.14391458336243404,80.0,5,2025-06-01,2025-06-04,2025-06-01 00:00:00,2025-06-04 21:30:00,15분봉,BTC
2025-06-09 19:01:07,RSI,"{""period"": 10, ""overbought"": 90, ""oversold"": 32}",10000000.0,11183398.304034024,11.833983040340245,75.0,20,2025-05-01,2025-06-09,2025-05-01 00:00:00,2025-06-09 11:30:00,15분봉,BTC
2025-06-09 19:04:06,볼린저밴드,"{""period"": 10, ""std"": 2.401}",10000000.0,10945044.237631252,9.450442376312521,66.66666666666666,9,2025-05-01,2025-06-09,2025-05-01 00:00:00,2025-06-09 11:30:00,15분봉,BTC
2025-06-09 19:11:13,이동평균선 교차,"{""short_period"": 8, ""long_period"": 45}",10000000.0,10155924.77189932,1.559247718993202,34.61538461538461,52,2025-05-01,2025-06-09,2025-05-01 00:00:00,2025-06-09 11:30:00,15분봉,BTC
2025-06-09 19:14:52,스토캐스틱,"{""period"": 13, ""k_period"": 5, ""d_period"": 4, ""overbought"": 88, ""oversold"": 17}",10000000.0,11279473.71868124,12.794737186812405,66.66666666666666,42,2025-05-01,2025-06-09,2025-05-01 00:00:00,2025-06-09 11:30:00,15분봉,BTC
2025-06-09 19:23:01,ATR 기반 변동성 돌파,"{""period"": 5, ""multiplier"": 2.347, ""trend_period"": 24, ""stop_loss_multiplier"": 1.576, ""position_size_multiplier"": 0.871}",10000000.0,10000000.885879148,8.85879147797823e-06,35.294117647058826,17,2025-05-01,2025-06-09,2025-05-01 00:00:00,2025-06-09 11:30:00,15분봉,BTC
2025-06-09 19:24:47,거래량 프로파일,"{""num_bins"": 1000}",10000000.0,10177368.311486432,1.773683114864323,66.66666666666666,6,2025-05-01,2025-06-09,2025-05-01 00:00:00,2025-06-09 11:30:00,15분봉,BTC
2025-06-09 19:48:12,머신러닝,"{""prediction_period"": 5, ""training_period"": 30}",10000000.0,8933779.159618163,-10.662208403818365,42.10526315789473,76,2025-05-01,2025-06-09,2025-05-01 00:00:00,2025-06-09 11:30:00,15분봉,BTC
2025-06-09 20:50:18,MACD,"{""fast_period"": 20, ""slow_period"": 46, ""signal_period"": 20}",10000000.0,9869615.930730812,-1.3038406926918775,36.486486486486484,74,2025-05-01,2025-06-09,2025-05-01 00:00:00,2025-06-09 11:30:00,15분봉,BTC
2025-06-10 10:18:17,거래량 프로파일,"{""num_bins"": 26, ""volume_threshold"": 101, ""volume_zscore_threshold"": 2.131, ""window_size"": 35}",10000000.0,10847798.787832674,8.477987878326736,100.0,2,2025-05-01,2025-06-10,2025-05-01 00:00:00,2025-06-10 10:00:00,15분봉,BTC
2025-06-10 10:37:27,RSI,"{""period"": 14, ""overbought"": 70, ""oversold"": 30}",10000000.0,10362663.031406473,3.6266303140647334,55.26315789473685,38,2025-05-01,2025-06-10,2025-05-01 00:00:00,2025-06-10 10:00:00,15분봉,BTC
